parentBpCode,childBpCode,leg,treeType,createdAt
akjha26,navin26,left,binary,2026-06-21T19:58:47.704Z
madhu26,kavita1126,right,binary,2026-06-21T19:58:47.819Z
madhu26,akjha1126,left,binary,2026-06-21T19:58:47.819Z
madhu26,akjha1126,sponsor,sponsor,2026-06-21T19:58:47.819Z
kavita1126,manoj1126,left,binary,2026-06-21T19:58:47.862Z
manoj1126,vibha26,sponsor,sponsor,2026-06-21T19:58:47.964Z
manoj1126,vibha26,left,binary,2026-06-21T19:58:47.964Z
sujeet26,madhu26,left,binary,2026-06-21T19:58:49.099Z
manoj026,sharma26,left,binary,2026-06-21T19:58:50.358Z
RC1005972,RD1137975,left,binary,2026-06-21T19:58:50.458Z
akyadav26,samsad26,sponsor,sponsor,2026-06-21T19:58:50.527Z
akyadav26,samsad26,left,binary,2026-06-21T19:58:50.527Z
sushma26,RD1178383,sponsor,sponsor,2026-06-21T19:58:50.540Z
sushma26,RD1178383,left,binary,2026-06-21T19:58:50.540Z
samsad26,sushma26,left,binary,2026-06-21T19:58:51.119Z
dksingh26,pksingh026,right,binary,2026-06-21T19:58:51.265Z
dksingh26,pksingh026,sponsor,sponsor,2026-06-21T19:58:51.265Z
dksingh26,manoj026,sponsor,sponsor,2026-06-21T19:58:51.265Z
dksingh26,sharma26,sponsor,sponsor,2026-06-21T19:58:51.265Z
dksingh26,sushma26,sponsor,sponsor,2026-06-21T19:58:51.265Z
dksingh26,manoj026,left,binary,2026-06-21T19:58:51.265Z
dksingh26,akyadav26,sponsor,sponsor,2026-06-21T19:58:51.265Z
pksingh026,pushpak26,left,binary,2026-06-21T19:58:51.719Z
pksingh026,pushpak26,sponsor,sponsor,2026-06-21T19:58:51.719Z
pksingh026,akyadav26,right,binary,2026-06-21T19:58:51.719Z
babu26,kavita26,left,binary,2026-06-21T19:58:52.819Z
kavita26,kavita1126,sponsor,sponsor,2026-06-21T19:58:53.055Z
kavita26,sujeet26,sponsor,sponsor,2026-06-21T19:58:53.055Z
kavita26,madhu26,sponsor,sponsor,2026-06-21T19:58:53.055Z
kavita26,manoj1126,sponsor,sponsor,2026-06-21T19:58:53.055Z
kavita26,akjha26,sponsor,sponsor,2026-06-21T19:58:53.055Z
kavita26,navin26,sponsor,sponsor,2026-06-21T19:58:53.055Z
kavita26,akjha26,left,binary,2026-06-21T19:58:53.055Z
kavita26,sujeet26,right,binary,2026-06-21T19:58:53.055Z
RD11156447,RD11157361,left,binary,2026-06-21T19:58:53.055Z
anilkr26,rakeshks26,left,binary,2026-06-21T19:58:53.374Z
bhushan26,ckr26,left,binary,2026-06-21T19:58:53.601Z
amit526,anilkr26,left,binary,2026-06-21T19:58:54.021Z
pawan26,amit526,left,binary,2026-06-21T19:58:55.136Z
RA02650,RA01887,left,binary,2026-06-21T19:58:55.435Z
khushbu26,shilpa26,left,binary,2026-06-21T19:58:56.858Z
gufrana26,akumar26,sponsor,sponsor,2026-06-21T19:58:56.874Z
gufrana26,akumar26,left,binary,2026-06-21T19:58:56.874Z
RA25452,RA02650,left,binary,2026-06-21T19:58:57.109Z
akumar26,RA26417,left,binary,2026-06-21T19:58:57.125Z
rezaur26,gufrana26,sponsor,sponsor,2026-06-21T19:58:57.376Z
rezaur26,gufrana26,left,binary,2026-06-21T19:58:57.376Z
RA26417,RA25452,left,binary,2026-06-21T19:58:57.382Z
noor26,rezaur26,left,binary,2026-06-21T19:58:57.387Z
noor26,rezaur26,sponsor,sponsor,2026-06-21T19:58:57.387Z
dilip26,RC1005972,left,binary,2026-06-21T19:59:00.678Z
rahul26,dilip26,left,binary,2026-06-21T19:59:01.143Z
saheb26,rashid26,left,binary,2026-06-21T19:59:01.153Z
jackey26,RD1135618,left,binary,2026-06-21T19:59:01.211Z
mahesh3526,jitendra26,left,binary,2026-06-21T19:59:01.262Z
mahesh3526,jitendra26,sponsor,sponsor,2026-06-21T19:59:01.262Z
sunil26,ravinder26,sponsor,sponsor,2026-06-21T19:59:01.535Z
sunil26,bhushan26,left,binary,2026-06-21T19:59:01.535Z
sunil26,ravinder26,right,binary,2026-06-21T19:59:01.535Z
RD11108266,RD11101633,sponsor,sponsor,2026-06-21T19:59:02.261Z
RD11108266,RD11101633,left,binary,2026-06-21T19:59:02.261Z
jitendra26,fakhruz26,left,binary,2026-06-21T19:59:02.298Z
hemant26,pradeep26,left,binary,2026-06-21T19:59:03.057Z
hemant26,pradeep26,sponsor,sponsor,2026-06-21T19:59:03.057Z
hemant26,manohar26,right,binary,2026-06-21T19:59:03.057Z
pandey26,khalique26,left,binary,2026-06-21T19:59:03.361Z
Firoj26,ajay26,left,binary,2026-06-21T19:59:04.069Z
ajay26,khushbu26,left,binary,2026-06-21T19:59:04.120Z
rajeev26,mahesh26,left,binary,2026-06-21T19:59:04.698Z
